_id,Year,GEO_ID,CountyName,StateName,StateCode,CountyCode,TotalEstimate,TotalMargin
1,2013,0500000US51095,James City County,Virginia,51,95,76960,2165
2,2013,0500000US51167,Russell County,Virginia,51,167,33872,2120
3,2013,0500000US51173,Smyth County,Virginia,51,173,37239,2192
4,2013,0500000US51515,Bedford city,Virginia,51,515,35593,5834
5,2013,0500000US51678,Lexington city,Virginia,51,678,36505,6973
6,2013,0500000US51031,Campbell County,Virginia,51,31,47162,2374
7,2013,0500000US51089,Henry County,Virginia,51,89,34984,1207
8,2013,0500000US51099,King George County,Virginia,51,99,81753,3879
9,2013,0500000US51103,Lancaster County,Virginia,51,103,49248,5110
10,2013,0500000US51105,Lee County,Virginia,51,105,31308,1776
11,2013,0500000US51115,Mathews County,Virginia,51,115,55192,10862
12,2013,0500000US51147,Prince Edward County,Virginia,51,147,37436,3383
13,2013,0500000US51149,Prince George County,Virginia,51,149,63074,5194
14,2013,0500000US51165,Rockingham County,Virginia,51,165,52195,1698
15,2013,0500000US51169,Scott County,Virginia,51,169,38355,2238
16,2013,0500000US51181,Surry County,Virginia,51,181,47292,7922
17,2013,0500000US51011,Appomattox County,Virginia,51,11,50167,3948
18,2013,0500000US51067,Franklin County,Virginia,51,67,45624,1929
19,2013,0500000US51117,Mecklenburg County,Virginia,51,117,36261,2387
20,2013,0500000US51121,Montgomery County,Virginia,51,121,45543,1756
21,2013,0500000US51015,Augusta County,Virginia,51,15,52027,2204
22,2013,0500000US51049,Cumberland County,Virginia,51,49,40557,7133
23,2013,0500000US51075,Goochland County,Virginia,51,75,80976,5829
24,2013,0500000US51083,Halifax County,Virginia,51,83,34659,2268
25,2013,0500000US51113,Madison County,Virginia,51,113,53459,3128
26,2013,0500000US51153,Prince William County,Virginia,51,153,98071,1668
27,2013,0500000US51175,Southampton County,Virginia,51,175,46150,3633
28,2013,0500000US51025,Brunswick County,Virginia,51,25,36293,2482
29,2013,0500000US51033,Caroline County,Virginia,51,33,57218,4588
30,2013,0500000US51131,Northampton County,Virginia,51,131,33635,4481
31,2013,0500000US51141,Patrick County,Virginia,51,141,34864,2345
32,2013,0500000US51163,Rockbridge County,Virginia,51,163,48313,3448
33,2013,0500000US51171,Shenandoah County,Virginia,51,171,49625,2770
34,2013,0500000US51720,Norton city,Virginia,51,720,39416,8522
35,2013,0500000US51790,Staunton city,Virginia,51,790,38501,2246
36,2013,0500000US51065,Fluvanna County,Virginia,51,65,68288,3968
37,2013,0500000US51007,Amelia County,Virginia,51,7,52885,4718
38,2013,0500000US51750,Radford city,Virginia,51,750,30714,5936
39,2013,0500000US51840,Winchester city,Virginia,51,840,44200,2441
40,2013,0500000US51001,Accomack County,Virginia,51,1,39328,3034
41,2013,0500000US51045,Craig County,Virginia,51,45,47806,7364
42,2013,0500000US51063,Floyd County,Virginia,51,63,44618,3719
43,2013,0500000US51071,Giles County,Virginia,51,71,45141,2777
44,2013,0500000US51077,Grayson County,Virginia,51,77,30710,3106
