l_FullName,r_FullName,l_fighter_height_cm,r_fighter_height_cm,l_fighter_weight_lbs,r_fighter_weight_lbs,l_fighter_reach_cm,r_fighter_reach_cm,l_fighter_age,r_fighter_age,l_fighter_w,l_fighter_l,r_fighter_w,r_fighter_l,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_rust_ring,r_rust_ring,l_seniority,r_seniority,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_total_fights_dif,r_total_fights_dif,l_w.l_ratio,r_w.l_ratio,l_total_fights,r_total_fights,l_win_difference,r_win_difference,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rustRing_dif,r_rustRing_dif
Kai Asakura,Alexandre Pantoja,172,165.1,125,125,175,173,31,35,0,0,28,5,2,6,3,0,11,7,-4,4,6.9,-6.9,0,0,2,-2,-33,33,0,5.6,0,33,-5.6,5.6,-4,4,3,-3,4,-4
RECORD Kai Asakura,Alexandre Pantoja,172,165.1,125,125,175,173,31,35,21,4,28,5,2,6,3,0,11,7,-4,4,6.9,-6.9,0,0,2,-2,-8,8,5.25,5.6,25,33,-0.35,0.35,-4,4,3,-3,4,-4
Shavakat Rakhmonov,Ian Garry,185.42,187.96,171,170,195.58,189.23,30,27,18,0,15,0,18,15,0,0,11,5,3,-3,-2.54,2.54,1,-1,6.35,-6.35,3,-3,18,15,18,15,3,-3,3,-3,0,0,6,-6
Citryl Gane,Alexander Volkov,195.58,201,250,258,205.74,203.2,35,36,12,2,38,10,1,4,0,2,15,5,-1,1,-5.42,5.42,-8,8,2.54,-2.54,-34,34,6,3.8,14,48,2.2,-2.2,-3,3,-2,2,10,-10
Bryce Mitchell,Kron Gracie,177.8,175.26,145.5,145,101.6,99.06,30,36,16,3,5,2,0,0,1,0,11,19,-6,6,2.54,-2.54,0.5,-0.5,2.54,-2.54,12,-12,5.333333333,2.5,19,7,2.833333333,-2.833333333,0,0,1,-1,-8,8
Nate Landwehr,Dooho Choi,175.26,177.8,159,158.7,182.88,177.8,37,34,18,5,15,4,1,1,2,2,8,4,3,-3,-2.54,2.54,0.3,-0.3,5.08,-5.08,4,-4,3.6,3.75,23,19,-0.15,0.15,0,0,0,0,4,-4
Dominick Reyes,Anthony Smith,193.04,193.04,205,206,195.58,193.04,35,36,13,4,38,20,1,0,3,11,5,5,-1,1,0,0,-1,1,2.54,-2.54,-41,41,3.25,1.9,17,58,1.35,-1.35,1,-1,-8,8,0,0
Vicente Luque,Themba Gorimbo,180.34,185.42,170,182.4,191.77,195.58,33,34,22,10,14,4,0,4,2,1,8,1,-1,1,-5.08,5.08,-12.4,12.4,-3.81,3.81,14,-14,2.2,3.5,32,18,-1.3,1.3,-4,4,1,-1,7,-7
Movsar Evloev,Aljamain Sterling,170.18,200.66,145.8,146,184.15,180.34,31,35,18,0,24,4,18,1,2,0,10,7,-5,5,-30.48,30.48,-0.2,0.2,3.81,-3.81,-10,10,18,6,18,28,12,-12,17,-17,2,-2,3,-3
Randy Brown,Bryan Battle,190.5,185.42,170,190.5,198.12,195.58,34,30,19,5,12,2,3,1,2,0,6,2,4,-4,5.08,-5.08,-20.5,20.5,2.54,-2.54,10,-10,3.8,6,24,14,-2.2,2.2,2,-2,2,-2,4,-4
Chris Weidman,Eryk Anders,187.96,185.42,202.6,202,198.12,190.5,40,38,16,7,18,8,1,1,6,1,8,9,3,-3,2.54,-2.54,0.6,-0.6,7.62,-7.62,-3,3,2.285714286,2.25,23,26,0.035714286,-0.035714286,0,0,5,-5,-1,1
Cody Durden,Joshya Van,170.18,165.1,135,140,170.18,165.1,34,23,17,6,11,2,1,1,1,1,3,2,11,-11,5.08,-5.08,-5,5,5.08,-5.08,10,-10,2.833333333,5.5,23,13,-2.666666667,2.666666667,0,0,0,0,1,-1
Michael Chiesa,Max Griffin,185.42,180.34,183.4,185.1,191.77,193.04,37,39,19,7,20,10,1,1,1,1,4,9,-2,2,5.08,-5.08,-1.7,1.7,-1.27,1.27,-4,4,2.714285714,2,26,30,0.714285714,-0.714285714,0,0,0,0,-5,5
Clay Guida,Chase Hooper,170.18,185.42,154,170,177.8,187.96,43,25,38,21,13,3,0,3,2,1,12,6,18,-18,-15.24,15.24,-16,16,-10.16,10.16,43,-43,1.80952381,4.333333333,59,16,-2.523809524,2.523809524,-3,3,1,-1,6,-6
Kennedy Nzechukwu,Lukaz Brzeki,195.58,190.5,241,238,210.82,198.12,32,33,13,5,9,5,1,0,2,3,1,4,0,0,5.08,-5.08,3,-3,12.7,-12.7,4,-4,2.6,1.8,18,14,0.8,-0.8,1,-1,-1,1,-3,3
Jake Paul,Mike Tyson,185.42,177.8,227,228.4,193.04,180.34,28,58,11,1,50,6,4,0,0,5,4,233,-31,31,7.62,-7.62,-1.4,1.4,12.7,-12.7,-44,44,11,8.333333333,12,56,2.666666667,-2.666666667,4,-4,-5,5,-229,229
