l_FullName,r_FullName,w_FullName,FightDate,l_win,r_win,l_seniority,r_seniority,l_w/l_ratio,r_w/l_ratio,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak,r_WinStreak,l_TKOReceived,r_TKOReceived,l_WinStreak_dif,r_WinStreak_dif,l_TKOReceived_dif,r_TKOReceived_dif,l_rust_ring,r_rust_ring,l_rustRing_dif,r_rustRing_dif
Spike Carlyle,Aalon Cruz,Spike Carlyle,2020-02-29,1,0,-4,4,3,2,-10.16,10.16,0,0,-17.78,17.78,7,5,12,12,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Andrei Arlovski,Aaron Brink,Andrei Arlovski,2000-11-17,1,0,-5,5,1.545455,1,0,0,35,-35,2.580002,-2.580002,13,4,56,52,4,-4,0.545454502105713,-0.545454502105713,0,0,0,0,0,0,0,0,0,0,0,0
Matt Hobar,Aaron Phillips,Matt Hobar,2014-08-23,1,0,2,-2,3,2.4,2.540009,-2.540009,0,0,-2.539993,2.539993,775,0,12,17,-5,5,0.599999904632568,-0.599999904632568,0,0,1,0,0,0,1,-1,84,0,84,-84
Gaston Bolanos,Aaron Phillips,Gaston Bolanos,2023-04-15,1,0,-3,3,2.333333,2.4,-5.080002,5.080002,0,0,-5.080002,5.080002,96,361,10,17,-7,7,-6.6666841506958e-02,6.6666841506958e-02,0,0,0,0,0,0,0,0,0,3157,-3157,3157
Robbie Lawler,Aaron Riley,Robbie Lawler,2002-05-10,1,0,-1,1,1.875,2.142857,7.619995,-7.619995,15,-15,12.70001,-12.70001,269,86,46,44,2,-2,-0.267857074737549,0.267857074737549,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Fisher,Aaron Riley,Spencer Fisher,2006-01-16,1,0,4,-4,2.666667,2.142857,-2.540009,2.540009,0,0,-2.539993,2.539993,0,89,33,44,-11,11,0.523809671401978,-0.523809671401978,0,0,0,0,0,0,0,0,0,1347,-1347,1347
Jorge Gurgel,Aaron Riley,Aaron Riley,2008-11-15,0,1,4,-4,1.4,2.142857,-2.540009,2.540009,0,0,0,0,12,147,24,44,-20,20,-0.742857098579407,0.742857098579407,0,0,0,1,0,0,-1,1,133,1034,-901,901
Shane Nelson,Aaron Riley,Shane Nelson,2009-03-07,1,0,-4,4,2.285714,2.142857,2.539993,-2.539993,0,0,2.540009,-2.540009,6,2,23,44,-21,21,0.142857313156128,-0.142857313156128,1,1,0,1,0,0,-1,1,84,112,-28,28
Shane Nelson,Aaron Riley,Aaron Riley,2009-08-08,0,1,-4,4,2.285714,2.142857,2.539993,-2.539993,0,0,2.540009,-2.540009,1,468,23,44,-21,21,0.142857313156128,-0.142857313156128,2,0,0,2,2,-2,-2,2,154,154,0,0
Ross Pearson,Aaron Riley,Ross Pearson,2009-11-14,1,0,-3,3,1.25,2.142857,0,0,0,0,0,0,53,19,36,44,-8,8,-0.892857074737549,0.892857074737549,1,1,0,2,0,0,-2,2,147,98,49,-49
