l_fighter_id,r_fighter_id,w_fighter_id,l_FullName,r_FullName,w_FullName,l_fighter_height_cm,r_fighter_height_cm,weight_class,l_fighter_weight_lbs,r_fighter_weight_lbs,l_fighter_reach_cm,r_fighter_reach_cm,l_fighter_stance,r_fighter_stance,l_fighter_dob,r_fighter_dob,event_date,l_fighter_age,r_fighter_age,l_seniority,r_seniority,l_fighter_w,l_fighter_l,r_fighter_w,r_fighter_l,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,l_ctrl_time,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,r_ctrl_time,result,num_rounds,finish_round,finish_time,l_w/l_ratio,r_w/l_ratio,l_win,r_win,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_ctrl_time_sec,r_ctrl_time_sec,l_total_fights,r_total_fights,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_stance_pair,r_stance_pair
3344,1747,1747,Aalon Cruz,Uros Medic,Uros Medic,182.88,185.42,Lightweight,145,170,198.12,180.34,Switch,Southpaw,1989-09-20 00:00:00,1993-04-25 00:00:00,2021-03-06,31,27,4,-4,8,4,9,1,0,3,0,3,0,2,0,0,0,0:11,1,74,55,63,45,0,0,0,0,0:56,KO/TKO,3,1,1:40,2,9,0,1,-2.539993,2.539993,-25,25,17.78,-17.78,11,56,12,10,2,-2,-7,7,Switch vs Southpaw,Southpaw vs Switch
1216,715,715,Aaron Phillips,Jack Shore,Jack Shore,175.26,172.72,Bantamweight,135,135,180.34,180.34,Southpaw,Orthodox,1989-08-05 00:00:00,1995-02-06 00:00:00,2020-07-15,30,25,5,-5,12,5,17,1,0,16,7,15,6,0,0,0,0,0:05,0,59,42,45,29,8,3,1,0,5:25,Submission,3,2,2:29,2.4,17,0,1,2.539993,-2.539993,0,0,0,0,5,325,17,18,-1,1,-14.5999999046326,14.5999999046326,Southpaw vs Orthodox,Orthodox vs Southpaw
1216,710,710,Aaron Phillips,Sam Sicilia,Sam Sicilia,175.26,172.72,Featherweight,135,145,180.34,170.18,Southpaw,Orthodox,1989-08-05 00:00:00,1986-02-01 00:00:00,2014-05-24,24,28,-4,4,12,5,15,8,0,137,109,40,18,0,0,1,1,1:08,0,129,95,68,37,8,5,1,1,10:09,Decision,3,3,5:00,2.4,1.875,0,1,2.539993,-2.539993,-10,10,10.16,-10.16,68,609,17,23,-6,6,0.525000095367432,-0.525000095367432,Southpaw vs Orthodox,Orthodox vs Southpaw
1038,888,888,Aaron Riley,Justin Salas,Justin Salas,172.72,172.72,Lightweight,155,155,175.26,177.8,Southpaw,Southpaw,1980-12-09 00:00:00,1982-03-13 00:00:00,2013-07-27,32,31,1,-1,30,14,12,7,0,172,26,172,26,0,0,0,0,0:00,0,144,58,140,54,9,3,0,0,0:30,Decision,3,3,5:00,2.142857,1.714286,0,1,0,0,0,0,-2.540009,2.540009,0,30,44,19,25,-25,0.428571343421936,-0.428571343421936,Southpaw vs Southpaw,Southpaw vs Southpaw
950,429,429,Aaron Rosa,James Te Huna,James Te Huna,193.04,187.96,Light Heavyweight,205,185,195.58,190.5,Orthodox,Orthodox,1983-05-28 00:00:00,1981-09-29 00:00:00,2012-03-02,28,30,-2,2,18,6,16,9,0,29,16,12,0,0,0,0,0,0:00,0,50,37,33,22,0,0,0,0,1:06,KO/TKO,3,1,2:08,3,1.777778,0,1,5.079987,-5.079987,20,-20,5.080002,-5.080002,0,66,24,25,-1,1,1.22222220897675,-1.22222220897675,Orthodox vs Orthodox,Orthodox vs Orthodox
665,438,665,Aaron Simpson,Brad Tavares,Aaron Simpson,182.88,185.42,Middleweight,170,185,185.42,187.96,Orthodox,Orthodox,1974-07-20 00:00:00,1987-12-21 00:00:00,2011-07-02,36,23,13,-13,12,5,20,9,0,156,127,66,43,15,2,2,0,10:59,0,62,41,33,13,4,1,0,0,0:58,Decision,3,3,5:00,2.4,2.222222,1,0,-2.539993,2.539993,-15,15,-2.540009,2.540009,659,58,17,29,-12,12,0.177777767181396,-0.177777767181396,Orthodox vs Orthodox,Orthodox vs Orthodox
1093,125,125,Abdul Razak Alhassan,Khaos Williams,Khaos Williams,177.8,182.88,Welterweight,185,170,185.42,195.58,Orthodox,Orthodox,1985-08-11 00:00:00,1994-03-30 00:00:00,2020-11-14,35,26,9,-9,12,5,14,3,0,2,2,2,2,0,0,0,0,0:00,1,10,5,10,5,0,0,0,0,0:00,KO/TKO,3,1,0:30,2.4,4.666667,0,1,-5.080002,5.080002,15,-15,-10.16,10.16,0,0,17,17,0,0,-2.26666641235352,2.26666641235352,Orthodox vs Orthodox,Orthodox vs Orthodox
1093,191,1093,Abdul Razak Alhassan,Charlie Ward,Abdul Razak Alhassan,177.8,180.34,Welterweight,185,170,185.42,183,Orthodox,Orthodox,1985-08-11 00:00:00,1980-12-17 00:00:00,2016-11-19,31,35,-4,4,12,5,3,3,3,22,12,22,12,0,0,0,0,0:07,0,15,2,14,2,0,0,0,0,0:00,KO/TKO,3,1,0:53,2.4,1,1,0,-2.539993,2.539993,15,-15,2.419998,-2.419998,7,0,17,6,11,-11,1.40000009536743,-1.40000009536743,Orthodox vs Orthodox,Orthodox vs Orthodox
1093,1054,1093,Abdul Razak Alhassan,Claudio Ribeiro,Abdul Razak Alhassan,177.8,185.42,Middleweight,185,185,185.42,195.58,Orthodox,Orthodox,1985-08-11 00:00:00,1992-07-17 00:00:00,2023-01-14,37,30,7,-7,12,5,11,4,1,41,30,28,17,2,0,0,0,3:08,0,54,42,31,19,0,0,0,0,0:16,KO/TKO,3,2,0:28,2.4,2.75,1,0,-7.619995,7.619995,0,0,-10.16,10.16,188,16,17,15,2,-2,-0.349999904632568,0.349999904632568,Orthodox vs Orthodox,Orthodox vs Orthodox
3121,1700,3121,Abdul-Kerim Edilov,Bojan Mihajlovic,Abdul-Kerim Edilov,187.96,180.34,Light Heavyweight,205,205,191,185.42,Orthodox,Orthodox,1991-11-25 00:00:00,1980-03-30 00:00:00,2017-09-02,25,37,-12,12,17,4,10,6,0,210,150,125,77,2,2,1,0,5:31,0,21,7,13,1,0,0,0,0,0:00,KO/TKO,3,2,2:32,4.25,1.666667,1,0,7.62001,-7.62001,0,0,5.580002,-5.580002,331,0,21,16,5,-5,2.58333337306976,-2.58333337306976,Orthodox vs Orthodox,Orthodox vs Orthodox
351,250,250,Abel Trujillo,James Vick,James Vick,172.72,190.5,Lightweight,155,155,177.8,193.04,Orthodox,Orthodox,1983-09-18 00:00:00,1987-02-23 00:00:00,2017-02-04,33,29,4,-4,15,8,13,5,0,36,14,33,11,5,1,0,0,2:15,0,71,29,67,25,2,1,3,0,2:21,Submission,3,3,0:49,1.875,2.6,0,1,-17.78,17.78,0,0,-15.23999,15.23999,135,141,23,18,5,-5,-0.724999904632568,0.724999904632568,Orthodox vs Orthodox,Orthodox vs Orthodox
351,283,351,Abel Trujillo,Jamie Varner,Abel Trujillo,172.72,172.72,Lightweight,155,155,177.8,180.34,Orthodox,Orthodox,1983-09-18 00:00:00,1984-10-12 00:00:00,2014-02-01,30,29,1,-1,15,8,21,11,1,88,27,79,18,3,0,0,0,0:09,0,122,51,96,36,0,0,1,0,2:30,KO/TKO,3,2,2:32,1.875,1.909091,1,0,0,0,0,0,-2.539993,2.539993,9,150,23,32,-9,9,-3.40908765792847e-02,3.40908765792847e-02,Orthodox vs Orthodox,Orthodox vs Orthodox
3899,3846,3846,Abu Azaitar,Marc-Andre Barriault,Marc-Andre Barriault,175.26,185.42,Middleweight,185,185,193.04,187.96,Orthodox,Orthodox,1986-03-10 00:00:00,1990-02-18 00:00:00,2021-03-27,35,31,4,-4,14,3,16,6,0,261,142,219,108,3,0,0,0,2:03,1,339,190,275,141,1,0,0,0,6:00,KO/TKO,3,3,4:56,4.666667,2.666667,0,1,-10.16,10.16,0,0,5.079987,-5.079987,123,360,17,22,-5,5,1.99999976158142,-1.99999976158142,Orthodox vs Orthodox,Orthodox vs Orthodox
3899,1673,3899,Abu Azaitar,Vitor Miranda,Abu Azaitar,175.26,185.42,Middleweight,185,185,193.04,195.58,Orthodox,Orthodox,1986-03-10 00:00:00,1979-03-10 00:00:00,2018-07-22,32,39,-7,7,14,3,12,5,0,226,135,128,48,1,1,0,1,3:18,0,91,63,45,19,4,3,1,1,4:57,Decision,3,3,5:00,4.666667,2.4,1,0,-10.16,10.16,0,0,-2.540009,2.540009,198,297,17,17,0,0,2.26666641235352,-2.26666641235352,Orthodox vs Orthodox,Orthodox vs Orthodox
1434,30,30,Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,180.34,180.34,Welterweight,170,170,182.88,185.42,Orthodox,Orthodox,1989-11-13 00:00:00,1986-12-11 00:00:00,2023-06-03,33,36,-3,3,17,4,24,7,0,76,48,54,29,8,1,0,0,6:16,0,132,50,113,42,2,0,0,0,0:15,Decision,3,3,5:00,4.25,3.428571,0,1,0,0,0,0,-2.539993,2.539993,376,15,21,31,-10,10,0.821428537368774,-0.821428537368774,Orthodox vs Orthodox,Orthodox vs Orthodox
1434,1385,1434,Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,180.34,185.42,Welterweight,170,170,182.88,180.34,Orthodox,Switch,1989-11-13 00:00:00,1993-02-24 00:00:00,2022-10-22,32,29,3,-3,17,4,13,2,0,104,76,67,40,4,1,0,0,7:55,0,142,79,99,38,7,1,0,0,1:08,Decision,3,3,5:00,4.25,6.5,1,0,-5.080002,5.080002,0,0,2.540009,-2.540009,475,68,21,15,6,-6,-2.25,2.25,Orthodox vs Switch,Switch vs Orthodox
