l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class
Aalon Cruz,Uros Medic,Uros Medic,0,1,4,2,-2.539993,-25,17.78,2,Switch vs Southpaw,-4,9,2.539993,25,-17.78,-2,Southpaw vs Switch,Lightweight
Aaron Phillips,Jack Shore,Jack Shore,0,1,5,2.4,2.539993,0,0,-1,Southpaw vs Orthodox,-5,17,-2.539993,0,0,1,Orthodox vs Southpaw,Bantamweight
Aaron Phillips,Sam Sicilia,Sam Sicilia,0,1,-4,2.4,2.539993,-10,10.16,-6,Southpaw vs Orthodox,4,1.875,-2.539993,10,-10.16,6,Orthodox vs Southpaw,Featherweight
Aaron Riley,Justin Salas,Justin Salas,0,1,1,2.142857,0,0,-2.540009,25,Southpaw vs Southpaw,-1,1.714286,0,0,2.540009,-25,Southpaw vs Southpaw,Lightweight
Aaron Rosa,James Te Huna,James Te Huna,0,1,-2,3,5.079987,20,5.080002,-1,Orthodox vs Orthodox,2,1.777778,-5.079987,-20,-5.080002,1,Orthodox vs Orthodox,Light Heavyweight
Aaron Simpson,Brad Tavares,Aaron Simpson,1,0,13,2.4,-2.539993,-15,-2.540009,-12,Orthodox vs Orthodox,-13,2.222222,2.539993,15,2.540009,12,Orthodox vs Orthodox,Middleweight
Abdul Razak Alhassan,Khaos Williams,Khaos Williams,0,1,9,2.4,-5.080002,15,-10.16,0,Orthodox vs Orthodox,-9,4.666667,5.080002,-15,10.16,0,Orthodox vs Orthodox,Welterweight
Abdul Razak Alhassan,Charlie Ward,Abdul Razak Alhassan,1,0,-4,2.4,-2.539993,15,,11,Orthodox vs Orthodox,4,1,2.539993,-15,,-11,Orthodox vs Orthodox,Welterweight
Abdul Razak Alhassan,Claudio Ribeiro,Abdul Razak Alhassan,1,0,7,2.4,-7.619995,0,-10.16,2,Orthodox vs Orthodox,-7,2.75,7.619995,0,10.16,-2,Orthodox vs Orthodox,Middleweight
Abdul-Kerim Edilov,Bojan Mihajlovic,Abdul-Kerim Edilov,1,0,-12,4.25,7.62001,0,,5,Orthodox vs Orthodox,12,1.666667,-7.62001,0,,-5,Orthodox vs Orthodox,Light Heavyweight
Abel Trujillo,James Vick,James Vick,0,1,4,1.875,-17.78,0,-15.23999,5,Orthodox vs Orthodox,-4,2.6,17.78,0,15.23999,-5,Orthodox vs Orthodox,Lightweight
