l_FullName,r_FullName,w_FullName,l_win,r_win,l_seniority,l_w/l_ratio,l_height_dif_cm,l_weight_dif_lb,l_reach_dif_cm,l_total_fights_dif,l_stance_pair,r_seniority,r_w/l_ratio,r_height_dif_cm,r_weight_dif_lb,r_reach_dif_cm,r_total_fights_dif,r_stance_pair,weight_class,l_win_difference,r_win_difference
Aalon Cruz,Uros Medic,Uros Medic,0,1,4,2,-2.539993,-25,17.78,2,Switch vs Southpaw,-4,9,2.539993,25,-17.78,-2,Southpaw vs Switch,Lightweight,-7,7
Aaron Phillips,Jack Shore,Jack Shore,0,1,5,2.4,2.539993,0,0,-1,Southpaw vs Orthodox,-5,17,-2.539993,0,0,1,Orthodox vs Southpaw,Bantamweight,-14.5999999046326,14.5999999046326
Aaron Phillips,Sam Sicilia,Sam Sicilia,0,1,-4,2.4,2.539993,-10,10.16,-6,Southpaw vs Orthodox,4,1.875,-2.539993,10,-10.16,6,Orthodox vs Southpaw,Featherweight,0.525000095367432,-0.525000095367432
Aaron Riley,Justin Salas,Justin Salas,0,1,1,2.142857,0,0,-2.540009,25,Southpaw vs Southpaw,-1,1.714286,0,0,2.540009,-25,Southpaw vs Southpaw,Lightweight,0.428571343421936,-0.428571343421936
Aaron Rosa,James Te Huna,James Te Huna,0,1,-2,3,5.079987,20,5.080002,-1,Orthodox vs Orthodox,2,1.777778,-5.079987,-20,-5.080002,1,Orthodox vs Orthodox,Light Heavyweight,1.22222220897675,-1.22222220897675
Aaron Simpson,Brad Tavares,Aaron Simpson,1,0,13,2.4,-2.539993,-15,-2.540009,-12,Orthodox vs Orthodox,-13,2.222222,2.539993,15,2.540009,12,Orthodox vs Orthodox,Middleweight,0.177777767181396,-0.177777767181396
Abdul Razak Alhassan,Khaos Williams,Khaos Williams,0,1,9,2.4,-5.080002,15,-10.16,0,Orthodox vs Orthodox,-9,4.666667,5.080002,-15,10.16,0,Orthodox vs Orthodox,Welterweight,-2.26666641235352,2.26666641235352
Abdul Razak Alhassan,Charlie Ward,Abdul Razak Alhassan,1,0,-4,2.4,-2.539993,15,2.419998,11,Orthodox vs Orthodox,4,1,2.539993,-15,-2.419998,-11,Orthodox vs Orthodox,Welterweight,1.40000009536743,-1.40000009536743
Abdul Razak Alhassan,Claudio Ribeiro,Abdul Razak Alhassan,1,0,7,2.4,-7.619995,0,-10.16,2,Orthodox vs Orthodox,-7,2.75,7.619995,0,10.16,-2,Orthodox vs Orthodox,Middleweight,-0.349999904632568,0.349999904632568
Abdul-Kerim Edilov,Bojan Mihajlovic,Abdul-Kerim Edilov,1,0,-12,4.25,7.62001,0,5.580002,5,Orthodox vs Orthodox,12,1.666667,-7.62001,0,-5.580002,-5,Orthodox vs Orthodox,Light Heavyweight,2.58333337306976,-2.58333337306976
Abel Trujillo,James Vick,James Vick,0,1,4,1.875,-17.78,0,-15.23999,5,Orthodox vs Orthodox,-4,2.6,17.78,0,15.23999,-5,Orthodox vs Orthodox,Lightweight,-0.724999904632568,0.724999904632568
Abel Trujillo,Jamie Varner,Abel Trujillo,1,0,1,1.875,0,0,-2.539993,-9,Orthodox vs Orthodox,-1,1.909091,0,0,2.539993,9,Orthodox vs Orthodox,Lightweight,-3.40908765792847e-02,3.40908765792847e-02
Abu Azaitar,Marc-Andre Barriault,Marc-Andre Barriault,0,1,4,4.666667,-10.16,0,5.079987,-5,Orthodox vs Orthodox,-4,2.666667,10.16,0,-5.079987,5,Orthodox vs Orthodox,Middleweight,1.99999976158142,-1.99999976158142
Abu Azaitar,Vitor Miranda,Abu Azaitar,1,0,-7,4.666667,-10.16,0,-2.540009,0,Orthodox vs Orthodox,7,2.4,10.16,0,2.540009,0,Orthodox vs Orthodox,Middleweight,2.26666641235352,-2.26666641235352
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,0,1,-3,4.25,0,0,-2.539993,-10,Orthodox vs Orthodox,3,3.428571,0,0,2.539993,10,Orthodox vs Orthodox,Welterweight,0.821428537368774,-0.821428537368774
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,1,0,3,4.25,-5.080002,0,2.540009,6,Orthodox vs Switch,-3,6.5,5.080002,0,-2.540009,-6,Switch vs Orthodox,Welterweight,-2.25,2.25
Abubakar Nurmagomedov,David Zawada,David Zawada,0,1,0,4.25,-2.540009,0,-7.619995,-3,Orthodox vs Orthodox,0,2.428571,2.540009,0,7.619995,3,Orthodox vs Orthodox,Welterweight,1.82142853736877,-1.82142853736877
Abus Magomedov,Sean Strickland,Sean Strickland,0,1,0,5,2.540009,0,5.080002,-3,Orthodox vs Orthodox,0,5.6,-2.540009,0,-5.080002,3,Orthodox vs Orthodox,Middleweight,-0.599999904632568,0.599999904632568
Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,1,0,2,5,5.080002,0,7.619995,11,Orthodox vs Orthodox,-2,2.8,-5.080002,0,-7.619995,-11,Orthodox vs Orthodox,Middleweight,2.20000004768372,-2.20000004768372
Adam Cella,Tor Troeng,Tor Troeng,0,1,-3,0.75,0,-15,-5,-9," vs Orthodox",3,2.285714,0,15,5,9,"Orthodox vs ",Middleweight,-1.53571438789368,1.53571438789368
Adam Fugitt,Yusaku Kinoshita,Adam Fugitt,1,0,12,2.25,2.539993,0,15.24001,4,Southpaw vs Southpaw,-12,2,-2.539993,0,-15.24001,-4,Southpaw vs Southpaw,Welterweight,0.25,-0.25
Adam Fugitt,Michael Morales,Michael Morales,0,1,10,2.25,2.539993,0,-5.080002,-2,Southpaw vs Orthodox,-10,15,-2.539993,0,5.080002,2,Orthodox vs Southpaw,Welterweight,-12.75,12.75
Adam Fugitt,Mike Malott,Mike Malott,0,1,3,2.25,0,0,10.16,2,Southpaw vs Orthodox,-3,10,0,0,-10.16,-2,Orthodox vs Southpaw,Welterweight,-7.75,7.75
Adam Milstead,Mike Rodriguez,Mike Rodriguez,0,1,1,2,-2.539993,0,-15.24001,-6,Orthodox vs Southpaw,-1,1.571429,2.539993,0,15.24001,6,Southpaw vs Orthodox,Light Heavyweight,0.428571462631226,-0.428571462631226
Adlan Amagov,Chris Spang,Adlan Amagov,1,0,1,7,0,0,2.039993,7,Orthodox vs Orthodox,-1,2,0,0,-2.039993,-7,Orthodox vs Orthodox,Welterweight,5,-5
Adlan Amagov,TJ Waldburger,Adlan Amagov,1,0,1,7,7.62001,0,2.539993,-9,Orthodox vs Orthodox,-1,1.777778,-7.62001,0,-2.539993,9,Orthodox vs Orthodox,Welterweight,5.22222220897675,-5.22222220897675
Adriano Martins,Leonardo Santos,Leonardo Santos,0,1,-3,3.111111,-5.080002,0,-7.619995,12,Southpaw vs Orthodox,3,2.571429,5.080002,0,7.619995,-12,Orthodox vs Southpaw,Lightweight,0.539682626724243,-0.539682626724243
Aisling Daly,Randa Markos,Randa Markos,0,1,-2,2.666667,-5.080002,0,2.539993,-1,Orthodox vs Orthodox,2,0.9166667,5.080002,0,-2.539993,1,Orthodox vs Orthodox,"Women's Strawweight",1.75000005960464,-1.75000005960464
AJ Dobson,Tafon Nchukwi,AJ Dobson,1,0,3,3.5,2.539993,0,-2.540009,-1,Orthodox vs Orthodox,-3,1.5,-2.539993,0,2.540009,1,Orthodox vs Orthodox,Middleweight,2,-2
AJ Dobson,Armen Petrosyan,Armen Petrosyan,0,1,-1,3.5,-5.080002,0,12.7,-2,Orthodox vs Orthodox,1,4.5,5.080002,0,-12.7,2,Orthodox vs Orthodox,Middleweight,-1,1
AJ Dobson,Jacob Malkoun,Jacob Malkoun,0,1,4,3.5,10.16,0,7.619995,-1,Orthodox vs Orthodox,-4,2.333333,-10.16,0,-7.619995,1,Orthodox vs Orthodox,Middleweight,1.16666674613953,-1.16666674613953
AJ Fletcher,Themba Gorimbo,AJ Fletcher,1,0,-6,3.333333,-7.619995,0,-25.40001,-2,Switch vs Orthodox,6,2.75,7.619995,0,25.40001,2,Orthodox vs Switch,Welterweight,0.583333253860474,-0.583333253860474
AJ Fletcher,Ange Loosa,Ange Loosa,0,1,-4,3.333333,0,0,-17.78001,0,Switch vs Orthodox,4,3.333333,0,0,17.78001,0,Orthodox vs Switch,Welterweight,0,0
AJ Fletcher,Matthew Semelsberger,Matthew Semelsberger,0,1,-4,3.333333,-7.619995,0,-20.32001,-4,Switch vs Switch,4,1.833333,7.619995,0,20.32001,4,Switch vs Switch,Welterweight,1.49999988079071,-1.49999988079071
Akbarh Arreola,Yves Edwards,Akbarh Arreola,1,0,-7,2.090909,2.540009,0,-5.080002,-30,Southpaw vs Southpaw,7,1.909091,-2.540009,0,5.080002,30,Southpaw vs Southpaw,Lightweight,0.181818127632141,-0.181818127632141
Akbarh Arreola,Francisco Trinaldo,Francisco Trinaldo,0,1,-4,2.090909,2.540009,-15,2.539993,-3,Southpaw vs Southpaw,4,3.111111,-2.540009,15,-2.539993,3,Southpaw vs Southpaw,Lightweight,-1.02020215988159,1.02020215988159
Akbarh Arreola,Jake Matthews,Jake Matthews,0,1,11,2.090909,-2.539993,-15,-5.080002,9,Southpaw vs Orthodox,-11,3.166667,2.539993,15,5.080002,-9,Orthodox vs Southpaw,Lightweight,-1.0757577419281,1.0757577419281
Akihiro Gono,Tamdan McCrory,Akihiro Gono,1,0,12,1.666667,-22.86,-15,-20.31999,37,Switch vs Switch,-12,2.8,22.86,15,20.31999,-37,Switch vs Switch,Welterweight,-1.13333332538605,1.13333332538605
Akihiro Gono,Dan Hardy,Dan Hardy,0,1,8,1.666667,-12.70001,0,-15.24001,21,Switch vs Orthodox,-8,2.5,12.70001,0,15.24001,-21,Orthodox vs Switch,Welterweight,-0.833333373069763,0.833333373069763
Akira Corassani,Dustin Poirier,Dustin Poirier,0,1,6,2,-2.539993,-10,-10.16,-19,Orthodox vs Southpaw,-6,3.625,2.539993,10,10.16,19,Southpaw vs Orthodox,Featherweight,-1.625,1.625
Akira Corassani,Andy Ogle,Akira Corassani,1,0,7,2,0,0,-2.539993,3,Orthodox vs Orthodox,-7,1.5,0,0,2.539993,-3,Orthodox vs Orthodox,Featherweight,0.5,-0.5
Akira Corassani,Robert Peralta,Akira Corassani,1,0,3,2,0,0,-7.619995,-8,Orthodox vs Orthodox,-3,2.25,0,0,7.619995,8,Orthodox vs Orthodox,Featherweight,-0.25,0.25
Akira Corassani,Sam Sicilia,Sam Sicilia,0,1,4,2,0,0,2.540009,-5,Orthodox vs Orthodox,-4,1.875,0,0,-2.540009,5,Orthodox vs Orthodox,Featherweight,0.125,-0.125
Akira Corassani,Max Holloway,Max Holloway,0,1,10,2,-7.619995,0,-2.539993,-14,Orthodox vs Orthodox,-10,3.571429,7.619995,0,2.539993,14,Orthodox vs Orthodox,Featherweight,-1.57142853736877,1.57142853736877
Al Iaquinta,Joe Lauzon,Al Iaquinta,1,0,-3,2,0,0,-2.539993,-23,Orthodox vs Orthodox,3,1.75,0,0,2.539993,23,Orthodox vs Orthodox,Lightweight,0.25,-0.25
Al Iaquinta,Ross Pearson,Al Iaquinta,1,0,-3,2,5.080002,0,2.540009,-15,Orthodox vs Orthodox,3,1.25,-5.080002,0,-2.540009,15,Orthodox vs Orthodox,Lightweight,0.75,-0.75
Al Iaquinta,Jorge Masvidal,Al Iaquinta,1,0,-3,2,-2.539993,-15,-10.16,-31,Orthodox vs Orthodox,3,2.058824,2.539993,15,10.16,31,Orthodox vs Orthodox,Lightweight,-5.88235855102539e-02,5.88235855102539e-02
Al Iaquinta,Khabib Nurmagomedov,Khabib Nurmagomedov,0,1,1,2,0,0,0,-8,Orthodox vs Orthodox,-1,29,0,0,0,8,Orthodox vs Orthodox,Lightweight,-27,27
Al Iaquinta,Diego Sanchez,Al Iaquinta,1,0,-6,2,0,-15,-5.080002,-23,Orthodox vs Southpaw,6,2.384615,0,15,5.080002,23,Southpaw vs Orthodox,Lightweight,-0.384615421295166,0.384615421295166
Al Iaquinta,Kevin Lee,Al Iaquinta,1,0,5,2,2.540009,-15,-17.78,-5,Orthodox vs Orthodox,-5,2.25,-2.540009,15,17.78,5,Orthodox vs Orthodox,Lightweight,-0.25,0.25
Al Iaquinta,Kevin Lee,Al Iaquinta,1,0,5,2,2.540009,-15,-17.78,-5,Orthodox vs Orthodox,-5,2.25,-2.540009,15,17.78,5,Orthodox vs Orthodox,Lightweight,-0.25,0.25
Alan Baudot,Parker Porter,Parker Porter,0,1,-2,2.666667,7.619995,-22,10.16,-12,Orthodox vs Orthodox,2,1.555556,-7.619995,22,-10.16,12,Orthodox vs Orthodox,Heavyweight,1.11111116409302,-1.11111116409302
Alan Baudot,Josh Parisian,Josh Parisian,0,1,2,2.666667,-2.539993,-22,0,-11,Orthodox vs Orthodox,-2,2.142857,2.539993,22,0,11,Orthodox vs Orthodox,Heavyweight,0.523809671401978,-0.523809671401978
Alan Belcher,Patrick Cote,Alan Belcher,1,0,-4,2.25,7.62001,15,0,-8,Orthodox vs Orthodox,4,2.090909,-7.62001,-15,0,8,Orthodox vs Orthodox,Middleweight,0.159090995788574,-0.159090995788574
Alan Belcher,Jason Day,Jason Day,0,1,-3,2.25,5.080002,0,7.619995,-5,Orthodox vs Orthodox,3,1.583333,-5.080002,0,-7.619995,5,Orthodox vs Orthodox,Middleweight,0.666666626930237,-0.666666626930237
Alan Belcher,Kendall Grove,Kendall Grove,0,1,-2,2.25,-10.15999,0,-10.16,-14,Orthodox vs Orthodox,2,1.352941,10.15999,0,10.16,14,Orthodox vs Orthodox,Middleweight,0.897058844566345,-0.897058844566345
Alan Belcher,Sean Salmon,Alan Belcher,1,0,-6,2.25,10.16,0,10.5,-13,Orthodox vs Southpaw,6,0.8571429,-10.16,0,-10.5,13,Southpaw vs Orthodox,Light Heavyweight,1.39285713434219,-1.39285713434219
Alan Belcher,Yushin Okami,Yushin Okami,0,1,-3,2.25,0,15,0,-20,Orthodox vs Southpaw,3,2.833333,0,-15,0,20,Southpaw vs Orthodox,Middleweight,-0.583333253860474,0.583333253860474
