l_FullName,r_FullName,l_fighter_height_cm,r_fighter_height_cm,l_fighter_weight_lbs,r_fighter_weight_lbs,l_fighter_reach_cm,r_fighter_reach_cm,l_fighter_age,r_fighter_age,l_fighter_w,l_fighter_l,r_fighter_w,r_fighter_l,l_WinStreak,r_WinStreak,l_seniority,r_seniority,l_height_dif_cm,r_height_dif_cm,l_weight_dif_lb,r_weight_dif_lb,l_reach_dif_cm,r_reach_dif_cm,l_total_fights,r_total_fights,l_w.l_ratio,r_w.l_ratio,l_total_fights_dif,r_total_fights_dif,l_win_difference,r_win_difference,l_WinStreak_dif,r_WinStreak_dif,l_win,r_win,,
Maheshate,Nikolas Motta,182.88,175.26,155,155,180.34,177.8,24,31,10,4,15,5,1,1,-7,7,7.62,-7.62,0,0,2.54,-2.54,14,20,2.5,3,-6,6,-0.5,0.5,0,0,0,1,,
Xiao Long,Quang Le,172.72,167.64,135,135,177.78,177.8,26,33,27,9,8,2,0,0,-7,7,5.08,-5.08,0,0,-0.02,0.02,36,10,3,4,26,-26,-1,1,0,0,1,0,,
Lone'er Kavanagh,Jose Ochoa,162.56,170.18,125,125,170.18,170.18,25,23,8,0,7,1,1,0,2,-2,-7.62,7.62,0,0,0,0,8,8,8,7,0,0,1,-1,1,-1,1,0,,
Nyamjargal Tumendemberel,Carlos Hernandez,170.18,172.72,125,125,180.34,170.18,26,31,8,1,10,4,2,0,-5,5,-2.54,2.54,0,0,10.16,-10.16,9,14,8,2.5,-5,5,5.5,-5.5,2,-2,0,1,,
Ming Shi,Feng Xiaocan,157.48,170.18,115,115,152.4,167.64,30,22,17,5,10,3,2,2,8,-8,-12.7,12.7,0,0,-15.24,15.24,22,13,3.4,3.333333333,9,-9,0.066666667,-0.066666667,0,0,1,0,,
Kiru Sahota,Donghun Choi,177.8,165.1,125,125,185.42,167.4,29,25,12,3,9,0,2,2,4,-4,12.7,-12.7,0,0,18.02,-18.02,15,9,4,9,6,-6,-5,5,0,0,0,1,,
Baergeng Jieleyisi,Suyoung You,175.26,167.64,135,135,177.8,165.1,28,28,18,6,14,3,2,2,0,0,7.62,-7.62,0,0,12.7,-12.7,24,17,3,4.666666667,7,-7,-1.666666667,1.666666667,0,0,0,1,,
Zhang Mingyang,Ozzy Diaz,187.96,193.04,205,205,190.5,200.66,26,34,18,6,9,3,2,0,-8,8,-5.08,5.08,0,0,-10.16,10.16,24,12,3,3,12,-12,0,0,2,-2,1,0,,
Volkan Oezdemir,Carlos Ulberg,187.96,193.04,205,205,190.5,195.58,35,34,20,8,12,1,2,6,1,-1,-5.08,5.08,0,0,-5.08,5.08,28,13,2.5,12,15,-15,-9.5,9.5,-4,4,0,1,,
Wang Cong,Gabriella Fernandes,167.64,167.64,125,125,167.64,167.4,32,31,6,1,10,3,2,1,1,-1,0,0,0,0,0.24,-0.24,7,13,6,3.333333333,-6,6,2.666666667,-2.666666667,1,-1,0,1,,
