l_FullName,r_FullName,w_FullName,l_knockdowns,l_total_strikes_att,l_total_strikes_succ,l_sig_strikes_att,l_sig_strikes_succ,l_takedown_att,l_takedown_succ,l_submission_att,l_reversals,r_knockdowns,r_total_strikes_att,r_total_strikes_succ,r_sig_strikes_att,r_sig_strikes_succ,r_takedown_att,r_takedown_succ,r_submission_att,r_reversals,l_ctrl_time_sec,r_ctrl_time_sec,result,num_rounds,finish_round,finish_time,l_win,r_win
Aalon Cruz,Uros Medic,Uros Medic,0,3,0,3,0,2,0,0,0,1,74,55,63,45,0,0,0,0,11,56,KO/TKO,3,1,1:40,0,1
Aaron Phillips,Jack Shore,Jack Shore,0,16,7,15,6,0,0,0,0,0,59,42,45,29,8,3,1,0,5,325,Submission,3,2,2:29,0,1
Aaron Phillips,Sam Sicilia,Sam Sicilia,0,137,109,40,18,0,0,1,1,0,129,95,68,37,8,5,1,1,68,609,Decision,3,3,5:00,0,1
Aaron Riley,Justin Salas,Justin Salas,0,172,26,172,26,0,0,0,0,0,144,58,140,54,9,3,0,0,0,30,Decision,3,3,5:00,0,1
Aaron Rosa,James Te Huna,James Te Huna,0,29,16,12,0,0,0,0,0,0,50,37,33,22,0,0,0,0,0,66,KO/TKO,3,1,2:08,0,1
Aaron Simpson,Brad Tavares,Aaron Simpson,0,156,127,66,43,15,2,2,0,0,62,41,33,13,4,1,0,0,659,58,Decision,3,3,5:00,1,0
Abdul Razak Alhassan,Khaos Williams,Khaos Williams,0,2,2,2,2,0,0,0,0,1,10,5,10,5,0,0,0,0,0,0,KO/TKO,3,1,0:30,0,1
Abdul Razak Alhassan,Charlie Ward,Abdul Razak Alhassan,3,22,12,22,12,0,0,0,0,0,15,2,14,2,0,0,0,0,7,0,KO/TKO,3,1,0:53,1,0
Abdul Razak Alhassan,Claudio Ribeiro,Abdul Razak Alhassan,1,41,30,28,17,2,0,0,0,0,54,42,31,19,0,0,0,0,188,16,KO/TKO,3,2,0:28,1,0
Abdul-Kerim Edilov,Bojan Mihajlovic,Abdul-Kerim Edilov,0,210,150,125,77,2,2,1,0,0,21,7,13,1,0,0,0,0,331,0,KO/TKO,3,2,2:32,1,0
Abel Trujillo,James Vick,James Vick,0,36,14,33,11,5,1,0,0,0,71,29,67,25,2,1,3,0,135,141,Submission,3,3,0:49,0,1
Abel Trujillo,Jamie Varner,Abel Trujillo,1,88,27,79,18,3,0,0,0,0,122,51,96,36,0,0,1,0,9,150,KO/TKO,3,2,2:32,1,0
Abu Azaitar,Marc-Andre Barriault,Marc-Andre Barriault,0,261,142,219,108,3,0,0,0,1,339,190,275,141,1,0,0,0,123,360,KO/TKO,3,3,4:56,0,1
Abu Azaitar,Vitor Miranda,Abu Azaitar,0,226,135,128,48,1,1,0,1,0,91,63,45,19,4,3,1,1,198,297,Decision,3,3,5:00,1,0
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos,0,76,48,54,29,8,1,0,0,0,132,50,113,42,2,0,0,0,376,15,Decision,3,3,5:00,0,1
Abubakar Nurmagomedov,Gadzhi Omargadzhiev,Abubakar Nurmagomedov,0,104,76,67,40,4,1,0,0,0,142,79,99,38,7,1,0,0,475,68,Decision,3,3,5:00,1,0
Abubakar Nurmagomedov,David Zawada,David Zawada,0,34,22,9,4,1,1,0,0,0,34,25,11,2,0,0,2,0,110,0,Submission,3,1,2:50,0,1
Abus Magomedov,Sean Strickland,Sean Strickland,0,101,47,101,47,2,1,0,0,1,188,81,188,81,0,0,0,0,23,10,KO/TKO,5,2,4:20,0,1
Abus Magomedov,Dustin Stoltzfus,Abus Magomedov,1,7,7,7,7,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,KO/TKO,3,1,0:19,1,0
Adam Cella,Tor Troeng,Tor Troeng,0,14,4,12,2,0,0,0,0,0,23,16,11,6,1,1,1,0,0,141,Submission,3,1,3:11,0,1
Adam Fugitt,Yusaku Kinoshita,Adam Fugitt,0,54,33,33,21,7,4,0,0,0,25,11,24,10,1,0,0,0,173,1,KO/TKO,3,1,4:36,1,0
Adam Fugitt,Michael Morales,Michael Morales,0,120,70,113,64,8,1,0,0,2,157,89,151,83,1,0,0,0,111,12,KO/TKO,3,3,1:09,0,1
Adam Fugitt,Mike Malott,Mike Malott,0,35,16,28,9,0,0,0,0,1,41,19,41,19,2,2,1,1,7,86,Submission,3,2,1:06,0,1
Adam Milstead,Mike Rodriguez,Mike Rodriguez,0,34,22,21,10,0,0,0,0,2,53,44,42,35,0,0,0,0,0,112,KO/TKO,3,1,2:59,0,1
Adlan Amagov,Chris Spang,Adlan Amagov,0,118,57,99,38,10,6,0,0,0,76,24,57,5,0,0,0,0,269,0,Decision,3,3,5:00,1,0
Adlan Amagov,TJ Waldburger,Adlan Amagov,1,34,23,26,15,1,0,0,0,0,10,4,10,4,3,0,0,0,5,38,KO/TKO,3,1,3:00,1,0
Adriano Martins,Leonardo Santos,Leonardo Santos,0,84,34,83,34,0,0,0,0,0,70,23,70,23,1,0,0,0,0,0,Decision,3,3,5:00,0,1
Aisling Daly,Randa Markos,Randa Markos,0,92,50,65,27,5,2,1,0,0,171,131,52,18,4,2,1,0,413,331,Decision,3,3,5:00,0,1
AJ Dobson,Tafon Nchukwi,AJ Dobson,0,176,98,134,67,3,2,0,0,0,106,59,99,53,0,0,0,0,273,0,Decision,3,3,5:00,1,0
AJ Dobson,Armen Petrosyan,Armen Petrosyan,0,168,64,161,58,3,3,0,0,0,246,118,246,118,1,0,0,0,49,0,Decision,3,3,5:00,0,1
AJ Dobson,Jacob Malkoun,Jacob Malkoun,0,110,68,90,52,0,0,0,0,0,255,183,128,80,16,6,0,0,27,557,Decision,3,3,5:00,0,1
