county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
Fairfax,Fairfax,Fairfax County,51059,VA,Virginia,38.8368,-77.277,1145354
Prince William,Prince William,Prince William County,51153,VA,Virginia,38.7029,-77.4809,481114
Virginia Beach,Virginia Beach,Virginia Beach City,51810,VA,Virginia,36.7335,-76.0435,457900
Loudoun,Loudoun,Loudoun County,51107,VA,Virginia,39.0907,-77.6357,420773
Chesterfield,Chesterfield,Chesterfield County,51041,VA,Virginia,37.3785,-77.587,366019
Henrico,Henrico,Henrico County,51087,VA,Virginia,37.538,-77.4059,333120
Chesapeake,Chesapeake,Chesapeake City,51550,VA,Virginia,36.6778,-76.3023,249377
Norfolk,Norfolk,Norfolk City,51710,VA,Virginia,36.8947,-76.257,236973
Arlington,Arlington,Arlington County,51013,VA,Virginia,38.8786,-77.1011,235845
Richmond,Richmond,Richmond City,51760,VA,Virginia,37.5294,-77.4756,227171
Newport News,Newport News,Newport News City,51700,VA,Virginia,37.105,-76.5181,185118
Stafford,Stafford,Stafford County,51179,VA,Virginia,38.4207,-77.458,157606
Alexandria,Alexandria,Alexandria City,51510,VA,Virginia,38.8185,-77.0861,157594
Spotsylvania,Spotsylvania,Spotsylvania County,51177,VA,Virginia,38.1851,-77.6561,141097
Hampton,Hampton,Hampton City,51650,VA,Virginia,37.0554,-76.3632,137217
Albemarle,Albemarle,Albemarle County,51003,VA,Virginia,38.0229,-78.5567,112513
Hanover,Hanover,Hanover County,51085,VA,Virginia,37.7601,-77.491,110513
Montgomery,Montgomery,Montgomery County,51121,VA,Virginia,37.1743,-80.3872,99373
Roanoke,Roanoke,Roanoke City,51770,VA,Virginia,37.2785,-79.958,99213
Portsmouth,Portsmouth,Portsmouth City,51740,VA,Virginia,36.8453,-76.3554,97384
Roanoke,Roanoke,Roanoke County,51161,VA,Virginia,37.2693,-80.068,96653
Suffolk,Suffolk,Suffolk City,51800,VA,Virginia,36.6953,-76.6398,94856
Frederick,Frederick,Frederick County,51069,VA,Virginia,39.2046,-78.2626,92007
Rockingham,Rockingham,Rockingham County,51165,VA,Virginia,38.512,-78.8757,83905
Bedford,Bedford,Bedford County,51019,VA,Virginia,37.3152,-79.5242,79761
Lynchburg,Lynchburg,Lynchburg City,51680,VA,Virginia,37.4003,-79.1909,79166
James City,James City,James City County,51095,VA,Virginia,37.3289,-76.7789,78818
Augusta,Augusta,Augusta County,51015,VA,Virginia,38.1644,-79.1339,77433
Fauquier,Fauquier,Fauquier County,51061,VA,Virginia,38.7386,-77.8092,73290
York,York,York County,51199,VA,Virginia,37.2431,-76.5635,70238
Pittsylvania,Pittsylvania,Pittsylvania County,51143,VA,Virginia,36.8213,-79.3971,60541
Campbell,Campbell,Campbell County,51031,VA,Virginia,37.2053,-79.0966,55518
Franklin,Franklin,Franklin County,51067,VA,Virginia,36.992,-79.8811,54838
Washington,Washington,Washington County,51191,VA,Virginia,36.7244,-81.9598,53985
Culpeper,Culpeper,Culpeper County,51047,VA,Virginia,38.486,-77.9558,52822
Harrisonburg,Harrisonburg,Harrisonburg City,51660,VA,Virginia,38.4362,-78.8735,51784
Henry,Henry,Henry County,51089,VA,Virginia,36.6828,-79.874,50760
Charlottesville,Charlottesville,Charlottesville City,51540,VA,Virginia,38.0375,-78.4855,46289
Shenandoah,Shenandoah,Shenandoah County,51171,VA,Virginia,38.8583,-78.5708,44337
Prince George,Prince George,Prince George County,51149,VA,Virginia,37.1865,-77.2242,42634
Manassas,Manassas,Manassas City,51683,VA,Virginia,38.7479,-77.4838,42620
Danville,Danville,Danville City,51590,VA,Virginia,36.5831,-79.4088,42507
Warren,Warren,Warren County,51187,VA,Virginia,38.9087,-78.2085,40800
Tazewell,Tazewell,Tazewell County,51185,VA,Virginia,37.125,-81.5606,40392
Isle of Wight,Isle of Wight,Isle of Wight County,51093,VA,Virginia,36.8912,-76.7259,38898
Gloucester,Gloucester,Gloucester County,51073,VA,Virginia,37.416,-76.5434,38875
Louisa,Louisa,Louisa County,51109,VA,Virginia,37.9786,-77.963,38106
Orange,Orange,Orange County,51137,VA,Virginia,38.2461,-78.014,36593
Wise,Wise,Wise County,51195,VA,Virginia,36.9752,-82.6212,36105
Halifax,Halifax,Halifax County,51083,VA,Virginia,36.7669,-78.9366,34013
Pulaski,Pulaski,Pulaski County,51155,VA,Virginia,37.0636,-80.7144,33841
